PERMNO,date,TICKER,PRC
11308,20070103,KO,48.58000
11308,20070104,KO,48.60000
11308,20070105,KO,48.26000
11308,20070108,KO,48.57000
11308,20070109,KO,48.61000
11308,20070110,KO,48.68000
11308,20070111,KO,48.74000
11308,20070112,KO,48.55000
11308,20070116,KO,48.50000
11308,20070117,KO,48.60000
11308,20070118,KO,48.35000
11308,20070119,KO,48.26000
11308,20070122,KO,48.03000
11308,20070123,KO,48.12000
11308,20070124,KO,48.13000
11308,20070125,KO,47.94000
11308,20070126,KO,47.83000
11308,20070129,KO,47.71000
11308,20070130,KO,47.81000
11308,20070131,KO,47.88000
11308,20070201,KO,48.10000
11308,20070202,KO,48.24000
11308,20070205,KO,47.90000
11308,20070206,KO,48.05000
11308,20070207,KO,48.03000
11308,20070208,KO,47.86000
11308,20070209,KO,47.76000
11308,20070212,KO,47.92000
11308,20070213,KO,48.21000
11308,20070214,KO,47.88000
11308,20070215,KO,47.85000
11308,20070216,KO,47.87000
11308,20070220,KO,47.78000
11308,20070221,KO,47.57000
11308,20070222,KO,47.30000
11308,20070223,KO,47.26000
11308,20070226,KO,47.72000
11308,20070227,KO,46.39000
11308,20070228,KO,46.68000
11308,20070301,KO,46.52000
11308,20070302,KO,45.89000
11308,20070305,KO,46.29000
11308,20070306,KO,46.93000
11308,20070307,KO,46.75000
11308,20070308,KO,47.15000
11308,20070309,KO,47.57000
11308,20070312,KO,47.95000
11308,20070313,KO,47.06000
11308,20070314,KO,47.04000
11308,20070315,KO,47.08000
11308,20070316,KO,47.21000
11308,20070319,KO,47.33000
11308,20070320,KO,47.62000
11308,20070321,KO,48.26000
11308,20070322,KO,48.25000
11308,20070323,KO,48.05000
11308,20070326,KO,48.15000
11308,20070327,KO,48.02000
11308,20070328,KO,47.91000
11308,20070329,KO,48.11000
11308,20070330,KO,48.00000
11308,20070402,KO,48.52000
11308,20070403,KO,48.99000
11308,20070404,KO,49.46000
11308,20070405,KO,49.52000
11308,20070409,KO,49.63000
11308,20070410,KO,50.08000
11308,20070411,KO,49.64000
11308,20070412,KO,49.67000
11308,20070413,KO,49.88000
11308,20070416,KO,50.27000
11308,20070417,KO,51.57000
11308,20070418,KO,51.66000
11308,20070419,KO,51.75000
11308,20070420,KO,52.09000
11308,20070423,KO,51.65000
11308,20070424,KO,51.71000
11308,20070425,KO,51.74000
11308,20070426,KO,52.08000
11308,20070427,KO,52.06000
11308,20070430,KO,52.19000
11308,20070501,KO,52.63000
11308,20070502,KO,52.71000
11308,20070503,KO,52.91000
11308,20070504,KO,53.21000
11308,20070507,KO,53.61000
11308,20070508,KO,53.07000
11308,20070509,KO,53.11000
11308,20070510,KO,52.48000
11308,20070511,KO,52.69000
11308,20070514,KO,52.60000
11308,20070515,KO,52.46000
11308,20070516,KO,52.74000
11308,20070517,KO,52.20000
11308,20070518,KO,52.63000
11308,20070521,KO,51.91000
11308,20070522,KO,51.48000
11308,20070523,KO,51.33000
11308,20070524,KO,51.24000
11308,20070525,KO,51.89000
11308,20070529,KO,52.18000
11308,20070530,KO,53.05000
11308,20070531,KO,52.99000
11308,20070601,KO,52.80000
11308,20070604,KO,52.67000
11308,20070605,KO,52.32000
11308,20070606,KO,52.00000
11308,20070607,KO,51.38000
11308,20070608,KO,51.67000
11308,20070611,KO,51.63000
11308,20070612,KO,51.14000
11308,20070613,KO,51.36000
11308,20070614,KO,51.31000
11308,20070615,KO,51.58000
11308,20070618,KO,51.76000
11308,20070619,KO,51.39000
11308,20070620,KO,51.49000
11308,20070621,KO,52.09000
11308,20070622,KO,51.62000
11308,20070625,KO,51.77000
11308,20070626,KO,51.95000
11308,20070627,KO,52.44000
11308,20070628,KO,52.63000
11308,20070629,KO,52.31000
11308,20070702,KO,52.56000
11308,20070703,KO,52.90000
11308,20070705,KO,52.67000
11308,20070706,KO,52.60000
11308,20070709,KO,52.70000
11308,20070710,KO,52.10000
11308,20070711,KO,52.09000
11308,20070712,KO,52.63000
11308,20070713,KO,53.11000
11308,20070716,KO,53.85000
11308,20070717,KO,53.17000
11308,20070718,KO,53.43000
11308,20070719,KO,53.70000
11308,20070720,KO,53.21000
11308,20070723,KO,53.64000
11308,20070724,KO,53.22000
11308,20070725,KO,54.05000
11308,20070726,KO,52.98000
11308,20070727,KO,52.28000
11308,20070730,KO,52.39000
11308,20070731,KO,52.11000
11308,20070801,KO,53.27000
11308,20070802,KO,53.66000
11308,20070803,KO,53.28000
11308,20070806,KO,54.23000
11308,20070807,KO,54.46000
11308,20070808,KO,55.86000
11308,20070809,KO,55.85000
11308,20070810,KO,54.98000
11308,20070813,KO,54.52000
11308,20070814,KO,54.14000
11308,20070815,KO,53.83000
11308,20070816,KO,53.58000
11308,20070817,KO,54.45000
11308,20070820,KO,54.52000
11308,20070821,KO,54.03000
11308,20070822,KO,53.95000
11308,20070823,KO,53.98000
11308,20070824,KO,54.00000
11308,20070827,KO,54.01000
11308,20070828,KO,53.26000
11308,20070829,KO,53.51000
11308,20070830,KO,53.40000
11308,20070831,KO,53.78000
11308,20070904,KO,54.37000
11308,20070905,KO,53.69000
11308,20070906,KO,54.66000
11308,20070907,KO,54.59000
11308,20070910,KO,54.57000
11308,20070911,KO,55.66000
11308,20070912,KO,55.84000
11308,20070913,KO,55.87000
11308,20070914,KO,56.40000
11308,20070917,KO,55.28000
11308,20070918,KO,56.40580
11308,20070919,KO,56.62000
11308,20070920,KO,56.31000
11308,20070921,KO,56.55000
11308,20070924,KO,56.70000
11308,20070925,KO,57.02000
11308,20070926,KO,57.35000
11308,20070927,KO,57.33000
11308,20070928,KO,57.47000
11308,20071001,KO,57.90000
11308,20071002,KO,57.92000
11308,20071003,KO,57.57000
11308,20071004,KO,57.87000
11308,20071005,KO,58.07000
11308,20071008,KO,57.80000
11308,20071009,KO,57.88000
11308,20071010,KO,57.87000
11308,20071011,KO,57.19000
11308,20071012,KO,57.80000
11308,20071015,KO,57.64000
11308,20071016,KO,57.76000
11308,20071017,KO,59.09000
11308,20071018,KO,59.36000
11308,20071019,KO,58.76000
11308,20071022,KO,59.25000
11308,20071023,KO,59.75000
11308,20071024,KO,60.18000
11308,20071025,KO,61.30000
11308,20071026,KO,61.57000
11308,20071029,KO,61.84000
11308,20071030,KO,61.73000
11308,20071031,KO,61.76000
11308,20071101,KO,60.90000
11308,20071102,KO,60.51000
11308,20071105,KO,60.34000
11308,20071106,KO,61.01000
11308,20071107,KO,59.96000
11308,20071108,KO,61.47000
11308,20071109,KO,60.83000
11308,20071112,KO,59.86000
11308,20071113,KO,61.04000
11308,20071114,KO,61.36000
11308,20071115,KO,61.95000
11308,20071116,KO,62.62000
11308,20071119,KO,62.30000
11308,20071120,KO,62.79000
11308,20071121,KO,62.25000
11308,20071123,KO,62.30000
11308,20071126,KO,61.73000
11308,20071127,KO,62.98000
11308,20071128,KO,62.99000
11308,20071129,KO,62.79000
11308,20071130,KO,62.10000
11308,20071203,KO,62.20000
11308,20071204,KO,62.75000
11308,20071205,KO,63.05000
11308,20071206,KO,63.07000
11308,20071207,KO,63.15000
11308,20071210,KO,63.27000
11308,20071211,KO,62.97000
11308,20071212,KO,63.77000
11308,20071213,KO,64.09000
11308,20071214,KO,63.81000
11308,20071217,KO,62.47000
11308,20071218,KO,62.22000
11308,20071219,KO,62.85000
11308,20071220,KO,62.28000
11308,20071221,KO,63.07000
11308,20071224,KO,63.21000
11308,20071226,KO,63.01000
11308,20071227,KO,62.30000
11308,20071228,KO,62.27000
11308,20071231,KO,61.37000
11308,20080102,KO,61.09000
11308,20080103,KO,61.73000
11308,20080104,KO,61.85000
11308,20080107,KO,63.31000
11308,20080108,KO,63.57000
11308,20080109,KO,65.27000
11308,20080110,KO,65.56000
11308,20080111,KO,63.77000
11308,20080114,KO,64.30000
11308,20080115,KO,63.61000
11308,20080116,KO,62.65000
11308,20080117,KO,62.04000
11308,20080118,KO,60.74000
11308,20080122,KO,58.79000
11308,20080123,KO,58.87000
11308,20080124,KO,59.88000
11308,20080125,KO,58.41000
11308,20080128,KO,59.41000
11308,20080129,KO,58.55000
11308,20080130,KO,57.77000
11308,20080131,KO,59.00000
11308,20080201,KO,59.26000
11308,20080204,KO,58.63000
11308,20080205,KO,57.40000
11308,20080206,KO,57.71000
11308,20080207,KO,58.45000
11308,20080208,KO,59.25000
11308,20080211,KO,59.50000
11308,20080212,KO,59.92000
11308,20080213,KO,59.39000
11308,20080214,KO,58.55000
11308,20080215,KO,58.76000
11308,20080219,KO,58.10000
